Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
41581,72,1041,1041,41581,208,208,41581
41593,48,1041,1041,41593,208,208,41593
41596,66,1041,1041,41596,208,208,41596
41621,70,1041,1041,41621,208,208,41621
41634,55,1041,1041,41634,208,208,41634
41636,59,1041,1041,41636,208,208,41636
41600,69,1041,1041,41600,208,208,41600
41658,64,1041,1041,41658,208,208,41658
41620,61,1041,1041,41620,208,208,41620
41577,57,1041,1041,41577,208,208,41577
41550,52,1041,1041,41550,208,208,41550
41602,56,1041,1041,41602,208,208,41602
41617,67,1041,1041,41617,208,208,41617
41608,74,1041,1041,41608,208,208,41608
41610,85,1041,1041,41610,208,208,41610
41565,53,1041,1041,41565,208,208,41565
41633,58,1041,1041,41633,208,208,41633
41584,45,1041,1041,41584,208,208,41584
41570,60,1041,1041,41570,208,208,41570
41800,71,1041,1041,41800,208,208,41800
41606,65,1041,1041,41606,208,208,41606
41514,65,1041,1041,41514,208,208,41514
41655,66,1041,1041,41655,208,208,41655
41808,62,1041,1041,41808,208,208,41808
41667,60,1041,1041,41667,208,208,41667
41667,75,1041,1041,41667,208,208,41667
41611,44,1041,1041,41611,208,208,41611
41610,64,1041,1041,41610,208,208,41610
41542,57,1041,1041,41542,208,208,41542
41501,65,1041,1041,41501,208,208,41501
