Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
41889,53,700,700,41889,175,175,41889
41927,47,700,700,41927,175,175,41927
42267,43,700,700,42267,175,175,42267
41968,93,700,700,41968,175,175,41968
41914,60,700,700,41914,175,175,41914
42898,43,700,700,42898,175,175,42898
41866,31,700,700,41866,175,175,41866
41877,64,700,700,41877,175,175,41877
42151,48,700,700,42151,175,175,42151
41991,35,700,700,41991,175,175,41991
42118,34,700,700,42118,175,175,42118
42000,39,700,700,42000,175,175,42000
42901,128,700,700,42901,175,175,42901
42054,69,700,700,42054,175,175,42054
41897,40,700,700,41897,175,175,41897
42083,29,700,700,42083,175,175,42083
42212,90,700,700,42212,175,175,42212
42065,98,700,700,42065,175,175,42065
41881,43,700,700,41881,175,175,41881
41849,62,700,700,41849,175,175,41849
42132,29,700,700,42132,175,175,42132
42132,31,700,700,42132,175,175,42132
41911,32,700,700,41911,175,175,41911
42785,37,700,700,42785,175,175,42785
42115,88,700,700,42115,175,175,42115
41898,26,700,700,41898,175,175,41898
41910,36,700,700,41910,175,175,41910
41868,57,700,700,41868,175,175,41868
41920,47,700,700,41920,175,175,41920
42039,38,700,700,42039,175,175,42039
