Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
40503,120,416,416,40503,83,83,40503
40509,129,416,416,40509,83,83,40509
40519,103,416,416,40519,83,83,40519
40493,141,416,416,40493,83,83,40493
40501,116,416,416,40501,83,83,40501
40571,120,416,416,40571,83,83,40571
40526,123,416,416,40526,83,83,40526
40500,102,415,415,40500,83,83,40500
40525,107,416,416,40525,83,83,40525
40432,125,416,416,40432,83,83,40432
40486,119,416,416,40486,83,83,40486
40444,114,416,416,40444,83,83,40444
40516,100,416,416,40516,83,83,40516
40494,127,416,416,40494,83,83,40494
40545,138,416,416,40545,83,83,40545
100001,0,416,2,100001,83,0,100001
40477,114,416,416,40477,83,83,40477
40474,110,416,416,40474,83,83,40474
40449,109,416,416,40449,83,83,40449
40511,106,416,416,40511,83,83,40511
40553,115,416,416,40553,83,83,40553
40537,118,416,416,40537,83,83,40537
40532,120,416,416,40532,83,83,40532
40557,104,416,416,40557,83,83,40557
40565,124,416,416,40565,83,83,40565
40549,114,416,416,40549,83,83,40549
40517,106,416,416,40517,83,83,40517
40484,118,416,416,40484,83,83,40484
40461,103,416,416,40461,83,83,40461
40476,117,416,416,40476,83,83,40476
