Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
42396,963,939,939,42396,309,309,42396
42460,564,939,939,42460,309,309,42460
42450,687,939,939,42450,309,309,42450
42503,548,939,939,42503,309,309,42503
42411,852,939,939,42411,309,309,42411
42483,521,939,939,42483,309,309,42483
42506,499,939,939,42506,309,309,42506
42432,423,939,939,42432,309,309,42432
42404,535,939,939,42404,309,309,42404
42494,492,939,939,42494,309,309,42494
42459,529,939,939,42459,309,309,42459
42528,912,939,939,42528,309,309,42528
42452,585,939,939,42452,309,309,42452
42502,617,939,939,42502,309,309,42502
42507,552,939,939,42507,309,309,42507
42422,676,939,939,42422,309,309,42422
42445,373,939,939,42445,309,309,42445
42412,657,939,939,42412,309,309,42412
42563,641,939,939,42563,309,309,42563
42460,1004,939,939,42460,309,309,42460
42410,434,939,939,42410,309,309,42410
42488,877,939,939,42488,309,309,42488
42488,685,939,939,42488,309,309,42488
42435,875,939,939,42435,309,309,42435
42453,683,939,939,42453,309,309,42453
42390,561,939,939,42390,309,309,42390
42421,559,939,939,42421,309,309,42421
42472,1065,939,939,42472,309,309,42472
42469,935,939,939,42469,309,309,42469
42480,659,939,939,42480,309,309,42480
