Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
85742,87,2915,2915,85742,583,583,85742
86479,86,2914,2914,86479,583,583,86479
100001,0,2914,5,100001,583,0,100001
86717,77,2914,2914,86717,583,583,86717
87099,91,2915,2915,87099,582,582,87099
86196,80,2915,2915,86196,582,582,86196
85649,110,2914,2914,85649,583,583,85649
86667,85,2915,2915,86667,583,583,86667
86146,102,2914,2914,86146,580,580,86146
86031,71,2914,2914,86031,583,583,86031
86139,91,2916,2916,86139,583,583,86139
85988,99,2915,2915,85988,582,582,85988
85799,99,2916,2916,85799,583,583,85799
87425,78,2916,2916,87425,583,583,87425
86074,97,2913,2913,86074,583,583,86074
93124,75,2915,2915,93124,583,583,93124
86048,103,2914,2914,86048,583,583,86048
86252,103,2912,2912,86252,583,583,86252
85999,64,2914,2914,85999,583,583,85999
88573,83,2915,2915,88573,583,583,88573
86506,90,2914,2914,86506,583,583,86506
85934,79,2913,2913,85934,583,583,85934
86705,83,2913,2913,86705,582,582,86705
86062,82,2916,2916,86062,583,583,86062
86282,83,2915,2915,86282,583,583,86282
86128,79,2913,2913,86128,583,583,86128
86241,80,2915,2915,86241,583,583,86241
85768,93,2913,2913,85768,583,583,85768
85954,81,2913,2913,85954,583,583,85954
86783,96,2911,2911,86783,583,583,86783
