Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
82416,9648,416,416,82416,83,83,82416
82728,12864,416,416,82728,83,83,82728
82693,11457,416,416,82693,83,83,82693
82563,11055,416,416,82563,83,83,82563
82194,10452,416,416,82194,83,83,82194
82983,9849,416,416,82983,83,83,82983
82237,12261,416,416,82237,83,83,82237
82465,10653,416,416,82465,83,83,82465
82598,10251,416,416,82598,83,83,82598
82429,10653,416,416,82429,83,83,82429
82201,11859,416,416,82201,83,83,82201
82809,10251,416,416,82809,83,83,82809
82770,11055,416,416,82770,83,83,82770
82705,11658,416,416,82705,83,83,82705
82715,9246,416,416,82715,83,83,82715
82506,10854,416,416,82506,83,83,82506
82463,11457,416,416,82463,83,83,82463
82758,11658,416,416,82758,83,83,82758
82464,9648,416,416,82464,83,83,82464
82658,11457,416,416,82658,83,83,82658
82841,10653,416,416,82841,83,83,82841
82219,11055,416,416,82219,83,83,82219
82657,10251,416,416,82657,83,83,82657
82798,10854,416,416,82798,83,83,82798
82442,10050,416,416,82442,83,83,82442
82346,11055,416,416,82346,83,83,82346
82611,11668,416,416,82611,83,83,82611
82363,12060,416,416,82363,83,83,82363
82345,12261,416,416,82345,83,83,82345
82418,11457,416,416,82418,83,83,82418
