Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
40649,109,277,277,40649,221,221,40649
40980,77,277,277,40980,221,221,40980
40654,108,277,277,40654,221,221,40654
40589,102,277,277,40589,221,221,40589
40655,136,277,277,40655,221,221,40655
40871,85,277,277,40871,221,221,40871
40610,110,277,277,40610,221,221,40610
40632,80,277,277,40632,221,221,40632
40687,86,277,277,40687,221,221,40687
40650,72,277,277,40650,221,221,40650
40867,113,277,277,40867,221,221,40867
40688,72,277,277,40688,221,221,40688
40739,97,277,277,40739,221,221,40739
40817,90,277,277,40817,221,221,40817
40673,132,277,277,40673,221,221,40673
40606,74,277,277,40606,221,221,40606
40920,182,277,277,40920,221,221,40920
40647,104,277,277,40647,221,221,40647
40671,123,277,277,40671,221,221,40671
40680,137,277,277,40680,221,221,40680
40693,75,277,277,40693,221,221,40693
40652,73,277,277,40652,221,221,40652
40646,87,277,277,40646,221,221,40646
40702,117,277,277,40702,221,221,40702
40712,114,277,277,40712,221,221,40712
40673,81,277,277,40673,221,221,40673
40991,117,277,277,40991,221,221,40991
40756,87,277,277,40756,221,221,40756
41575,93,277,277,41575,221,221,41575
40748,118,277,277,40748,221,221,40748
