Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
40733,185,71,71,40733,53,53,40733
41189,75,71,71,41189,53,53,41189
40591,68,71,71,40591,53,53,40591
40818,168,71,71,40818,53,53,40818
41087,140,71,71,41087,53,53,41087
40500,184,71,71,40500,53,53,40500
40710,118,71,71,40710,53,53,40710
40827,79,71,71,40827,53,53,40827
41120,290,71,71,41120,53,53,41120
40715,115,71,71,40715,53,53,40715
41307,120,71,71,41307,53,53,41307
40724,155,71,71,40724,53,53,40724
41108,324,71,71,41108,53,53,41108
40654,150,71,71,40654,53,53,40654
40507,100,70,70,40507,53,53,40507
40628,119,71,71,40628,53,53,40628
40645,124,71,71,40645,53,53,40645
40686,118,71,71,40686,53,53,40686
41133,92,71,71,41133,53,53,41133
40687,119,71,71,40687,53,53,40687
40735,181,71,71,40735,53,53,40735
40808,88,71,71,40808,53,53,40808
40716,121,71,71,40716,53,53,40716
40939,95,71,71,40939,53,53,40939
40720,230,70,70,40720,53,53,40720
40777,183,71,71,40777,52,52,40777
40619,333,71,71,40619,53,53,40619
40764,102,71,71,40764,52,52,40764
40672,182,70,70,40672,53,53,40672
40617,160,71,71,40617,53,53,40617
