Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
100001,0,2770,3,0,2220,2,0
100001,0,2775,4,0,2214,0,0
100001,0,2773,0,0,2220,4,0
100001,0,2774,1,0,2216,2,0
98430,65,2777,2777,98430,2220,2220,98430
100001,0,2768,5,100001,2219,2,100001
100001,0,2775,2,100001,2214,0,100001
100000,70,2774,2774,100000,2216,2216,100000
98669,124,2775,2775,98669,2218,2218,98669
100001,0,2775,2,100001,2218,3,100001
100001,0,2772,2,100001,2217,2,100001
100001,0,2774,4,100001,2216,3,100001
98918,34,2773,2773,98918,2220,2220,98918
100001,0,2777,4,100001,2219,2,100001
100000,107,2772,2772,100000,2216,2216,100000
100001,0,2771,1,100001,2216,1,100001
100000,63,2773,2773,100000,2219,2219,100000
100001,0,2772,0,100001,2217,1,100001
100001,0,2771,3,100001,2215,0,100001
100000,47,2771,2771,100000,2218,2218,100000
100000,42,2775,2775,100000,2218,2218,100000
100000,55,2770,2770,100000,2217,2217,100000
98905,92,2772,2772,98905,2218,2218,98905
100001,0,2772,2,100001,2218,5,100001
99128,122,2773,2773,99128,2219,2219,99128
100001,0,2772,2,100001,2218,1,100001
100001,0,2777,3,100001,2217,1,100001
100001,0,2772,2,100001,2216,3,100001
100000,109,2773,2773,100000,2218,2218,100000
100001,0,2773,3,100001,2219,1,100001
