Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
46043,26,625,599,0,624,581,0
50839,125,625,622,0,624,623,0
47089,29,625,615,0,624,599,0
48268,119,620,620,48268,622,622,48268
50361,78,621,621,50361,624,624,50361
47777,51,621,604,47777,625,592,47777
50391,76,624,620,50391,625,623,50391
49002,96,622,619,49002,624,615,49002
100001,0,623,3,100001,624,1,100001
52560,388,624,568,52560,623,555,52560
54931,79,624,624,54931,625,625,54931
46224,82,624,556,46224,621,540,46224
47911,198,624,609,47911,624,598,47911
47331,310,622,611,47331,623,605,47331
47782,12,624,624,47782,625,625,47782
47795,72,624,624,47795,624,624,47795
50790,227,624,600,50790,625,589,50790
48002,55,625,625,48002,624,624,48002
100001,0,625,2,100001,624,2,100001
100001,0,625,0,100001,625,1,100001
49239,37,623,595,49239,623,577,49239
48984,167,625,619,48984,624,607,48984
48195,62,622,616,48195,622,608,48195
49479,47,622,609,49479,622,597,49479
48458,73,621,621,48458,624,624,48458
50197,25,625,625,50197,624,624,50197
100001,0,625,1,100001,625,2,100001
47708,16,622,622,47708,622,622,47708
46761,77,622,564,46761,620,541,46761
48344,369,624,610,48344,624,607,48344
