Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
41898,346,486,486,41898,388,388,41898
41830,822,486,486,41830,388,388,41830
41947,1207,486,486,41947,388,388,41947
41908,824,486,486,41908,388,388,41908
41809,1440,486,486,41809,388,388,41809
41967,1482,486,486,41967,388,388,41967
41873,1519,486,486,41873,388,388,41873
41977,925,486,486,41977,388,388,41977
42037,821,486,486,42037,388,388,42037
41882,1384,486,486,41882,388,388,41882
41950,989,486,486,41950,388,388,41950
41857,922,486,486,41857,388,388,41857
41922,1540,486,486,41922,388,388,41922
41923,1348,486,486,41923,388,388,41923
41811,750,486,486,41811,388,388,41811
41967,1448,486,486,41967,388,388,41967
41900,1172,486,486,41900,388,388,41900
41957,1631,486,486,41957,388,388,41957
41988,961,486,486,41988,388,388,41988
41901,1773,486,486,41901,388,388,41901
41951,851,486,486,41951,388,388,41951
41920,1822,486,486,41920,388,388,41920
41931,1061,486,486,41931,388,388,41931
41916,1017,486,486,41916,388,388,41916
41926,1118,486,486,41926,388,388,41926
41918,1662,486,486,41918,388,388,41918
41919,1456,486,486,41919,388,388,41919
41902,1269,486,486,41902,388,388,41902
42048,1425,486,486,42048,388,388,42048
41895,1403,486,486,41895,388,388,41895
