Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
40796,4125,277,277,40796,221,221,40796
40806,3238,277,277,40806,221,221,40806
40791,2364,277,277,40791,221,221,40791
40830,4009,277,277,40830,221,221,40830
40839,2891,277,277,40839,221,221,40839
40779,2729,277,277,40779,221,221,40779
40893,2828,277,277,40893,221,221,40893
40868,4519,277,277,40868,221,221,40868
40821,2071,277,277,40821,221,221,40821
40827,3881,277,277,40827,221,221,40827
40806,2553,277,277,40806,221,221,40806
40908,3651,277,277,40908,221,221,40908
40856,2503,277,277,40856,221,221,40856
40930,2828,277,277,40930,221,221,40930
40771,3080,277,277,40771,221,221,40771
40934,3052,277,277,40934,221,221,40934
40935,5699,277,277,40935,221,221,40935
40876,2841,277,277,40876,221,221,40876
40894,2687,277,277,40894,221,221,40894
40924,4210,277,277,40924,221,221,40924
40813,3861,277,277,40813,221,221,40813
40868,2953,277,277,40868,221,221,40868
40935,3379,277,277,40935,221,221,40935
40891,3311,277,277,40891,221,221,40891
40832,2816,277,277,40832,221,221,40832
40862,4350,277,277,40862,221,221,40862
40882,2795,277,277,40882,221,221,40882
40885,2380,277,277,40885,221,221,40885
40859,4624,277,277,40859,221,221,40859
40778,3601,277,277,40778,221,221,40778
