Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
40483,83,93,37,0,30,10,0
41061,51,93,48,0,30,16,0
40058,72,93,11,0,30,2,0
40491,1005,93,22,0,30,9,0
40279,70,93,27,0,30,8,0
40066,40,93,10,0,30,7,0
40805,42,93,61,0,30,19,0
40395,29,93,35,0,30,9,0
40191,35,93,25,0,30,8,0
40577,167,93,55,0,30,13,0
40264,285,93,30,0,30,11,0
40600,48,93,44,0,30,9,0
40125,33,93,18,0,30,3,0
40323,136,93,25,0,30,3,0
41114,39,93,62,0,30,21,0
40130,56,93,16,0,30,6,0
40023,37,93,3,0,30,2,0
40274,27,93,11,0,30,5,0
40102,36,93,22,0,30,4,0
40421,101,93,43,0,30,12,0
40186,24,93,12,0,30,4,0
40163,59,93,15,0,30,8,0
40381,43,93,24,0,30,8,0
40398,51,93,25,0,30,6,0
42223,818,93,50,0,30,16,0
40454,25,93,30,0,30,8,0
40064,25,93,9,0,30,0,0
40179,12,93,33,0,30,5,0
40171,8,93,13,0,30,2,0
40309,26,93,20,0,30,5,0
