Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
26930,14,500,491,0,375,360,0
26311,22,500,467,0,375,347,0
8889,176,500,500,8889,375,375,8889
27212,46,500,486,27212,375,357,27212
27574,47,500,454,27574,375,328,27574
24408,71,500,295,24408,375,207,24408
25974,13,500,439,25974,375,330,25974
31256,15,500,492,31256,375,363,31256
23859,66,500,384,23859,375,269,23859
5893,29,500,500,5893,375,368,5893
26377,15,500,484,26377,375,349,26377
29444,81,500,480,29444,375,345,29444
25813,20,500,403,25813,375,272,25813
7252,290,500,500,7252,375,372,7252
20591,9,500,118,20591,375,78,20591
25167,22,500,492,25167,375,363,25167
24572,42,500,455,24572,375,328,24572
6452,63,500,500,6452,375,371,6452
23568,68,500,287,23568,375,209,23568
24892,36,500,410,24892,375,294,24892
25696,12,500,464,25696,375,324,25696
25482,15,500,411,25482,375,307,25482
7644,5,500,500,7644,375,374,7644
21719,18,500,226,21719,375,156,21719
22273,38,500,293,22273,375,197,22273
21554,17,500,184,21554,375,130,21554
21080,12,500,158,21080,375,98,21080
27746,67,500,477,27746,375,349,27746
7049,14,500,500,7049,375,374,7049
27069,9,500,468,27069,375,346,27069
