Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
69557,1031,1600,1600,69557,400,400,69557
66678,1407,1600,1600,66678,400,400,66678
53242,1011,1600,1600,53242,400,400,53242
67905,822,1600,1600,67905,400,400,67905
185359,804,1600,1598,185359,400,400,185359
80783,1585,1600,1600,80783,400,400,80783
61655,1773,1600,1600,61655,400,399,61655
159135,1608,1600,1577,159135,400,385,159135
114554,1206,1600,1600,114554,400,399,114554
81689,1520,1600,1600,81689,400,400,81689
78116,1252,1600,1600,78116,400,400,78116
69691,1614,1600,1600,69691,400,399,69691
59592,603,1600,1600,59592,400,400,59592
152909,829,1600,1599,152909,400,399,152909
105960,1292,1600,1600,105960,400,400,105960
58314,1005,1600,1600,58314,400,399,58314
57162,1407,1600,1600,57162,400,400,57162
70221,1454,1600,1600,70221,400,400,70221
67783,1364,1600,1600,67783,400,400,67783
70722,877,1600,1600,70722,400,399,70722
63968,1237,1600,1600,63968,400,400,63968
67619,1608,1600,1600,67619,400,400,67619
59894,852,1600,1600,59894,400,400,59894
200000,1384,1600,1596,200000,400,397,200000
65549,2299,1600,1600,65549,400,399,65549
61580,909,1600,1600,61580,400,399,61580
97708,1269,1600,1600,97708,400,400,97708
55398,1275,1600,1600,55398,400,400,55398
64077,903,1600,1600,64077,400,400,64077
83818,1469,1600,1600,83818,400,400,83818
