Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
590,105,657,657,590,216,216,590
575,119,657,657,575,216,215,575
647,127,657,657,647,216,215,647
591,97,657,657,591,216,216,591
609,137,657,657,609,216,216,609
571,136,657,657,571,216,216,571
659,108,657,657,659,216,215,659
621,119,657,657,621,216,215,621
684,116,657,657,684,216,216,684
619,118,657,657,619,216,215,619
593,129,657,657,593,216,213,593
662,102,657,657,662,216,216,662
596,141,657,657,596,216,215,596
610,116,657,657,610,216,216,610
684,119,657,657,684,216,215,684
615,127,657,657,615,216,216,615
650,103,657,657,650,216,216,650
661,107,657,657,661,216,216,661
614,111,657,657,614,216,216,614
650,114,657,657,650,216,216,650
688,125,657,657,688,216,215,688
646,122,657,657,646,216,215,646
598,120,657,657,598,216,216,598
677,138,657,657,677,216,214,677
610,111,657,657,610,216,216,610
636,101,657,657,636,216,215,636
613,105,657,657,613,216,213,613
610,142,657,657,610,216,214,610
635,118,657,657,635,216,214,635
593,100,657,657,593,216,216,593
