Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
6852,5660,1750,1750,6852,1750,1747,0
6777,6828,1750,1750,6777,1750,1748,0
7204,7437,1750,1750,7204,1750,1750,7204
6785,7592,1750,1750,6785,1750,1749,6785
7268,7035,1750,1750,7268,1750,1750,7268
7507,6737,1750,1750,7507,1750,1749,7507
6776,7035,1750,1750,6776,1750,1750,6776
6687,7638,1750,1750,6687,1750,1750,6687
7158,7815,1750,1750,7158,1750,1749,7158
6901,6913,1750,1750,6901,1750,1750,6901
6920,7342,1750,1750,6920,1750,1747,6920
7547,8590,1750,1750,7547,1750,1747,7547
6993,8241,1750,1750,6993,1750,1750,6993
6538,7437,1750,1750,6538,1750,1749,6538
7080,7236,1750,1750,7080,1750,1750,7080
7141,6567,1750,1750,7141,1750,1750,7141
7246,6432,1750,1750,7246,1750,1750,7246
7563,7277,1750,1750,7563,1750,1749,7563
7330,7437,1750,1750,7330,1750,1750,7330
6970,6930,1750,1750,6970,1750,1749,6970
7104,6633,1750,1750,7104,1750,1750,7104
7256,7638,1750,1750,7256,1750,1750,7256
7157,7204,1750,1750,7157,1750,1750,7157
7127,8241,1750,1750,7127,1750,1747,7127
7208,8844,1750,1750,7208,1750,1750,7208
7167,8241,1750,1750,7167,1750,1750,7167
6925,8442,1750,1750,6925,1750,1750,6925
7161,7824,1750,1750,7161,1750,1748,7161
7341,5691,1750,1750,7341,1750,1750,7341
7245,8442,1750,1750,7245,1750,1750,7245
