Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
8745,5025,2099,2099,8745,1400,1400,8745
9502,4209,2099,2099,9502,1400,1400,9502
8807,5226,2099,2099,8807,1400,1398,8807
9112,5226,2099,2099,9112,1400,1400,9112
9042,4037,2099,2099,9042,1400,1400,9042
9242,4456,2099,2099,9242,1400,1399,9242
9143,5025,2099,2099,9143,1400,1398,9143
9420,6231,2099,2099,9420,1400,1400,9420
9309,5147,2099,2099,9309,1400,1398,9309
9233,5440,2099,2099,9233,1400,1399,9233
9192,6231,2099,2099,9192,1400,1399,9192
9322,5048,2099,2099,9322,1400,1398,9322
9385,4191,2099,2099,9385,1400,1399,9385
9638,5879,2099,2099,9638,1400,1399,9638
8892,5776,2099,2099,8892,1400,1400,8892
9070,5226,2099,2099,9070,1400,1400,9070
8946,5829,2099,2099,8946,1400,1399,8946
9457,5829,2099,2099,9457,1400,1395,9457
9037,5427,2099,2099,9037,1400,1398,9037
8782,5027,2099,2099,8782,1400,1396,8782
8654,6030,2099,2099,8654,1400,1400,8654
9053,4824,2099,2099,9053,1400,1397,9053
8874,4422,2099,2099,8874,1400,1398,8874
9420,5226,2099,2099,9420,1400,1394,9420
8823,5628,2099,2099,8823,1400,1400,8823
9522,6237,2099,2099,9522,1400,1400,9522
8872,6030,2099,2099,8872,1400,1399,8872
8927,5649,2099,2099,8927,1400,1395,8927
9308,6298,2099,2099,9308,1400,1399,9308
9130,6432,2099,2099,9130,1400,1399,9130
