Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
14073,8844,1333,1333,14073,666,666,14073
13516,12267,1333,1333,13516,666,664,13516
14196,12462,1333,1333,14196,666,666,14196
14753,11676,1333,1333,14753,666,664,14753
15244,12266,1333,1333,15244,666,665,15244
14005,10653,1333,1333,14005,666,664,14005
14460,10050,1333,1333,14460,666,666,14460
15609,12060,1333,1333,15609,666,666,15609
15028,10854,1333,1333,15028,666,665,15028
13377,11658,1333,1333,13377,666,664,13377
13855,10854,1333,1333,13855,666,665,13855
14101,11679,1333,1333,14101,666,665,14101
13881,11055,1333,1333,13881,666,666,13881
13738,10253,1333,1333,13738,666,666,13738
14411,10854,1333,1333,14411,666,665,14411
14506,11464,1333,1333,14506,666,666,14506
14464,10660,1333,1333,14464,666,664,14464
14099,11457,1333,1333,14099,666,666,14099
14188,9045,1333,1333,14188,666,664,14188
16335,10466,1333,1333,16335,666,665,16335
12853,10452,1333,1333,12853,666,664,12853
14777,11658,1333,1333,14777,666,665,14777
13696,11065,1333,1333,13696,666,662,13696
14329,10480,1333,1333,14329,666,666,14329
14016,12060,1333,1333,14016,666,663,14016
14874,12462,1333,1333,14874,666,666,14874
13207,11658,1333,1333,13207,666,666,13207
14298,11055,1333,1333,14298,666,666,14298
14241,10653,1333,1333,14241,666,665,14241
14019,11457,1333,1333,14019,666,666,14019
