Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
8401,74,2333,2333,8401,1166,1166,8401
8973,68,2333,2333,8973,1166,1166,8973
9033,56,2333,2333,9033,1166,1165,9033
8586,78,2333,2333,8586,1166,1166,8586
8077,66,2333,2333,8077,1166,1164,8077
8863,80,2333,2333,8863,1166,1165,8863
8266,63,2333,2333,8266,1166,1166,8266
8847,48,2333,2333,8847,1166,1165,8847
8625,55,2333,2333,8625,1166,1166,8625
8294,49,2333,2333,8294,1166,1162,8294
8402,59,2333,2333,8402,1166,1166,8402
9873,59,2333,2333,9873,1166,1165,9873
10538,62,2333,2333,10538,1166,1166,10538
16689,45,2333,2333,16689,1166,1165,16689
8010,95,2333,2333,8010,1166,1166,8010
8369,47,2333,2333,8369,1166,1166,8369
10101,62,2333,2333,10101,1166,1166,10101
8145,86,2333,2333,8145,1166,1165,8145
9980,64,2333,2333,9980,1166,1166,9980
7864,68,2333,2333,7864,1166,1165,7864
7923,69,2333,2333,7923,1166,1166,7923
9290,68,2333,2333,9290,1166,1166,9290
9441,77,2333,2333,9441,1166,1166,9441
7936,52,2333,2333,7936,1166,1165,7936
8179,77,2333,2333,8179,1166,1166,8179
8749,76,2333,2333,8749,1166,1166,8749
7994,65,2333,2333,7994,1166,1166,7994
7886,57,2333,2333,7886,1166,1166,7886
10043,53,2333,2333,10043,1166,1166,10043
8271,60,2333,2333,8271,1166,1166,8271
