Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
569,121,375,375,569,123,123,569
576,92,375,375,576,123,121,576
561,79,375,375,561,123,122,561
678,73,375,375,678,123,123,678
586,74,375,375,586,123,121,586
595,80,375,375,595,123,123,595
655,80,375,375,655,123,122,655
615,83,375,375,615,123,121,615
556,85,375,375,556,123,123,556
683,94,375,375,683,123,122,683
759,110,375,375,759,123,122,759
547,74,375,375,547,123,121,547
676,82,375,375,676,123,120,676
664,85,375,375,664,123,122,664
712,89,375,375,712,123,122,712
564,83,375,375,564,123,122,564
554,153,375,375,554,123,123,554
655,90,375,375,655,123,123,655
594,75,375,375,594,123,121,594
602,76,375,375,602,123,122,602
519,74,375,375,519,123,123,519
627,74,375,375,627,123,122,627
716,75,375,375,716,123,122,716
604,84,375,375,604,123,123,604
528,92,375,375,528,123,121,528
636,84,375,375,636,123,123,636
560,74,375,375,560,123,122,560
582,104,375,375,582,123,123,582
628,91,375,375,628,123,123,628
510,76,375,375,510,123,121,510
