Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
33762,132,10526,10526,33762,3473,3472,0
36028,134,10526,10526,36028,3473,3473,36028
35179,105,10526,10526,35179,3473,3473,35179
34409,155,10526,10526,34409,3473,3467,34409
34377,128,10526,10526,34377,3473,3473,34377
34052,112,10526,10526,34052,3473,3472,34052
33323,113,10526,10526,33323,3473,3473,33323
34106,110,10526,10526,34106,3473,3472,34106
35293,111,10526,10526,35293,3473,3472,35293
34370,118,10526,10526,34370,3473,3473,34370
35262,154,10526,10526,35262,3473,3473,35262
35485,115,10526,10526,35485,3473,3473,35485
35050,113,10526,10526,35050,3473,3473,35050
34459,110,10526,10526,34459,3473,3472,34459
34961,117,10526,10526,34961,3473,3473,34961
35224,111,10526,10526,35224,3473,3473,35224
35908,117,10526,10526,35908,3473,3473,35908
34070,161,10526,10526,34070,3473,3473,34070
34917,150,10526,10526,34917,3473,3473,34917
34443,127,10526,10526,34443,3473,3472,34443
35191,120,10526,10526,35191,3473,3470,35191
33669,131,10526,10526,33669,3473,3473,33669
35212,122,10526,10526,35212,3473,3472,35212
35554,112,10526,10526,35554,3473,3473,35554
35514,110,10526,10526,35514,3473,3472,35514
34867,123,10526,10526,34867,3473,3473,34867
36421,146,10526,10526,36421,3473,3473,36421
35685,125,10526,10526,35685,3473,3472,35685
34318,110,10526,10526,34318,3473,3472,34318
36248,128,10526,10526,36248,3473,3473,36248
