Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
20150,319,83,17,0,41,6,0
20321,28,83,16,0,41,11,0
20450,41,83,28,0,41,17,0
20102,59,83,19,0,41,3,0
20351,41,83,25,0,41,13,0
20042,20,83,6,0,41,2,0
21782,104,83,43,0,41,17,0
20252,30,83,18,0,41,11,0
20204,82,83,10,0,41,1,0
20093,20,83,8,0,41,0,0
20304,88,83,26,0,41,4,0
20522,58,83,46,0,41,17,0
20054,22,83,15,0,41,2,0
21513,29,83,58,0,41,20,0
22269,39,83,43,0,41,20,0
20260,451,83,21,0,41,6,0
20534,18,83,36,0,41,16,0
20151,8,83,21,0,41,5,0
20277,58,83,28,0,41,12,0
20117,26,83,23,0,41,5,0
20134,16,83,15,0,41,4,0
20132,13,83,17,0,41,5,0
20302,56,83,19,0,41,9,0
20049,650,83,3,0,41,1,0
20081,28,83,16,0,41,5,0
20129,38,83,14,0,41,9,0
20598,108,83,32,0,41,8,0
20650,604,83,34,0,41,10,0
20414,40,83,40,0,41,8,0
20079,37,83,10,0,41,3,0
