Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
5865,105,2999,2999,5865,2000,1998,0
5983,122,2999,2999,5983,2000,2000,5983
5924,135,2999,2999,5924,2000,1999,5924
6029,124,2999,2999,6029,2000,1998,6029
5982,151,2999,2999,5982,2000,1994,5982
5969,128,2999,2999,5969,2000,1998,5969
5968,111,2999,2999,5968,2000,1995,5968
5986,99,2999,2999,5986,2000,1998,5986
5955,107,2999,2999,5955,2000,1995,5955
5854,101,2999,2999,5854,2000,2000,5854
6077,156,2999,2999,6077,2000,2000,6077
5820,167,2999,2999,5820,2000,1997,5820
6022,91,2999,2999,6022,2000,2000,6022
5987,142,2999,2999,5987,2000,1999,5987
6246,127,2999,2999,6246,2000,1999,6246
6245,124,2999,2999,6245,2000,2000,6245
6266,105,2999,2999,6266,2000,2000,6266
5998,126,2999,2999,5998,2000,1997,5998
5826,113,2999,2999,5826,2000,1996,5826
6373,125,2999,2999,6373,2000,1999,6373
6025,137,2999,2999,6025,2000,1999,6025
6025,138,2999,2999,6025,2000,1997,6025
5854,132,2999,2999,5854,2000,1998,5854
6063,110,2998,2998,6063,2000,1994,6063
6011,108,2999,2999,6011,2000,1995,6011
6020,122,2999,2999,6020,2000,1998,6020
6151,133,2999,2999,6151,2000,2000,6151
5842,140,2999,2999,5842,2000,1993,5842
5871,120,2999,2999,5871,2000,1997,5871
6024,143,2999,2999,6024,2000,2000,6024
