Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
6402,79,2916,2916,6402,583,583,6402
6707,81,2916,2916,6707,583,583,6707
6350,79,2916,2916,6350,583,583,6350
6433,95,2916,2916,6433,583,583,6433
6406,75,2916,2916,6406,583,581,6406
6443,88,2916,2916,6443,583,583,6443
6209,80,2916,2916,6209,583,583,6209
6546,80,2916,2916,6546,583,583,6546
6437,73,2916,2916,6437,583,583,6437
6820,103,2916,2916,6820,583,583,6820
6572,93,2916,2916,6572,583,582,6572
6747,74,2916,2916,6747,583,583,6747
6554,98,2916,2916,6554,583,583,6554
6577,100,2916,2916,6577,583,583,6577
6607,98,2916,2916,6607,583,583,6607
6319,83,2916,2916,6319,583,583,6319
6079,101,2916,2916,6079,583,583,6079
6865,90,2916,2916,6865,583,582,6865
6516,84,2916,2916,6516,583,581,6516
6480,84,2916,2916,6480,583,582,6480
6968,74,2916,2916,6968,583,583,6968
6624,71,2916,2916,6624,583,583,6624
6425,76,2916,2916,6425,583,582,6425
6402,77,2916,2916,6402,583,583,6402
6444,104,2916,2916,6444,583,583,6444
6336,76,2916,2916,6336,583,582,6336
6308,73,2916,2916,6308,583,580,6308
6225,83,2916,2916,6225,583,583,6225
6425,110,2916,2916,6425,583,583,6425
6369,80,2916,2916,6369,583,581,6369
