Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
185158,1407,5333,5333,185158,2666,2666,185158
181918,1300,5333,5333,181918,2666,2666,181918
179575,1015,5333,5333,179575,2666,2664,179575
177220,1068,5333,5333,177220,2666,2665,177220
181502,1095,5333,5333,181502,2666,2666,181502
183754,1071,5333,5333,183754,2666,2664,183754
173843,1069,5333,5333,173843,2666,2666,173843
179708,804,5333,5333,179708,2666,2666,179708
191372,1711,5333,5333,191372,2666,2664,191372
200000,1181,5333,5331,200000,2666,2666,200000
188022,1191,5333,5333,188022,2666,2665,188022
182304,1036,5333,5333,182304,2666,2666,182304
182290,830,5333,5333,182290,2666,2666,182290
180796,909,5333,5333,180796,2666,2666,180796
200000,1005,5333,5311,200000,2666,2654,200000
194354,1005,5333,5333,194354,2666,2665,194354
181710,804,5333,5333,181710,2666,2666,181710
200000,1464,5333,5330,200000,2666,2666,200000
200000,1019,5333,5329,200000,2666,2663,200000
191165,1005,5333,5333,191165,2666,2666,191165
175817,677,5333,5333,175817,2666,2662,175817
198629,1105,5333,5333,198629,2666,2665,198629
200000,992,5333,5315,200000,2666,2655,200000
200000,1226,5333,5331,200000,2666,2664,200000
180466,1060,5333,5333,180466,2666,2666,180466
192481,1026,5333,5333,192481,2666,2663,192481
185446,1173,5333,5333,185446,2666,2666,185446
194399,1005,5333,5333,194399,2666,2666,194399
200000,1417,5333,5115,200000,2666,2569,200000
200000,1258,5333,5294,200000,2666,2644,200000
